PaperID,AuthID
E12-2012,A-8119
E12-2012,A-4732
E12-2013,A-9685
E12-2013,A-13715
E12-2013,A-17412
E12-2013,A-4509
E12-2014,A-13550
E12-2014,A-6648
E12-2014,A-4693
E12-2014,A-2966
E12-2014,A-10289
E12-2014,A-11834
E12-2015,A-2878
E12-2015,A-8434
E12-2016,A-12055
E12-2016,A-1465
E12-2016,A-6953
E12-2017,A-4258
E12-2017,A-5273
E12-2017,A-18530
E12-2017,A-7127
E12-2018,A-3652
E12-2018,A-9555
E12-2018,A-10596
E12-2018,A-5300
E12-2018,A-12596
E12-2018,A-2439
E12-2018,A-16435
E12-2018,A-8168
E12-2019,A-4701
E12-2019,A-1639
E12-2019,A-14449
E12-2019,A-11744
E12-2020,A-8033
E12-2020,A-454
E12-2021,A-13207
E12-2021,A-9482
E12-2021,A-215
E12-2021,A-13792
E12-2021,A-11978
E12-2021,A-18020
E12-3001,A-16227
E12-3002,A-10574
E12-3003,A-11961
E12-3004,A-6116
E12-3005,A-7131
E12-3005,A-2794
E12-3006,A-7777
E12-3007,A-13381
E12-3008,A-14723
E12-3009,A-17757
E12-3010,A-7063
E12-3010,A-3434
E12-3010,A-1758
E14-1001,A-13556
E14-1001,A-3889
E14-1002,A-454
E14-1002,A-14615
E14-1003,A-7725
E14-1003,A-96
E14-1003,A-8456
E14-1003,A-17376
E14-1004,A-14413
E14-1004,A-14603
E14-1004,A-1151
E14-1005,A-11043
E14-1005,A-858
E14-1005,A-18807
E14-1006,A-1806
E14-1006,A-13885
E14-1006,A-6742
E14-1007,A-13888
E14-1007,A-13986
E14-1007,A-8670
E14-1007,A-14392
E14-1008,A-3576
E14-1008,A-10468
E14-1008,A-10694
E14-1009,A-14705
E14-1009,A-14793
E14-1010,A-18808
E14-1010,A-12792
E14-1010,A-10283
E14-1011,A-6933
E14-1012,A-4769
E14-1012,A-11412
E14-1012,A-3720
E14-1012,A-12307
E14-1012,A-6192
E14-1013,A-8095
E14-1013,A-14412
E14-1014,A-16731
E14-1014,A-3627
E14-1014,A-15035
E14-1014,A-587
E14-1015,A-18809
E14-1015,A-18810
E14-1016,A-5755
E14-1016,A-7205
E14-1017,A-7633
E14-1017,A-9274
E14-1018,A-4570
E14-1018,A-14424
E14-1018,A-4565
E14-1019,A-17767
E14-1019,A-14557
E14-1019,A-7911
E14-1020,A-1901
E14-1020,A-13262
E14-1020,A-12556
E14-1021,A-5951
E14-1021,A-15717
E14-1021,A-12678
E14-1022,A-4449
E14-1022,A-7844
E14-1023,A-12875
E14-1023,A-14081
E14-1023,A-14762
E14-1023,A-7733
E14-1023,A-4545
E14-1024,A-14844
E14-1024,A-18414
E14-1025,A-4356
E14-1025,A-2801
E14-1026,A-2424
E14-1026,A-18811
E14-1026,A-11541
E14-1026,A-1647
E14-1027,A-1806
E14-1027,A-11773
E14-1028,A-18811
E14-1028,A-3537
E14-1028,A-1647
E14-1029,A-1119
E14-1029,A-18575
E14-1029,A-10069
E14-1030,A-12028
E14-1030,A-5267
E14-1031,A-12970
E14-1031,A-8449
E14-1032,A-12148
E14-1032,A-14746
E14-1032,A-5816
E14-1033,A-1481
E14-1033,A-5640
E14-1034,A-13268
E14-1034,A-11150
E14-1035,A-11157
E14-1035,A-14412
E14-1035,A-15036
E14-1035,A-4752
E14-1036,A-10
E14-1036,A-8924
E14-1037,A-5262
E14-1037,A-3889
E14-1038,A-1976
E14-1038,A-2014
E14-1038,A-3041
E14-1039,A-2544
E14-1039,A-2644
E14-1040,A-9965
E14-1040,A-18575
E14-1041,A-6801
E14-1042,A-13409
E14-1042,A-10671
E14-1042,A-13573
E14-1043,A-9493
E14-1043,A-11432
E14-1043,A-18716
E14-1043,A-3837
E14-1044,A-13561
E14-1044,A-17626
E14-1044,A-7017
E14-1045,A-11377
E14-1045,A-15337
E14-1046,A-10097
E14-1046,A-1889
E14-1046,A-7575
E14-1047,A-5342
E14-1047,A-2966
E14-1047,A-3269
E14-1047,A-16138
E14-1048,A-10444
E14-1048,A-1634
E14-1049,A-1684
E14-1049,A-10671
E14-1050,A-6020
E14-1050,A-10289
